"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday"
4,"The Gentlemen","UK/USA","1719736","Entertainment",-0.43710776,2,503,3419,5967374,2020-01-12
5,"Jumanji: The Next Level","USA","1691901","Sony Pictures",-0.44913568,5,589,2872,30988078,2020-01-12
6,"Jojo Rabbit","Nzl/USA/Cze","1029072","Disney",-0.57395909,2,539,1909,4287575,2020-01-12
7,"Frozen 2","USA","784361","Disney",-0.53049931,8,584,1343,51266979,2020-01-12
8,"Spies In Disguise","USA","682596","Disney",-0.39952602,3,547,1248,5216299,2020-01-12
9,"Cats","UK/USA","434743","Universal",-0.57943997,4,492,884,11212492,2020-01-12
10,"Knives Out","USA","345483","Lionsgate",-0.27510759,7,283,1221,12231764,2020-01-12
11,"Darbar","Ind","251733","Sun Media",NA,1,62,4060,251733,2020-01-12
12,"Playing With Fire","USA","241038","Paramount",-0.53621744,3,413,584,2423182,2020-01-12
13,"Wozzeck - Met Opera 2020 (Opera)","USA","112187","Trafalgar",NA,1,190,590,112187,2020-01-12
14,"Chhapaak","Ind","86221","Disney",NA,1,45,1916,86221,2020-01-12
15,"Ala Vykuntapurram Loo","Ind","78909","Sailing Stones",NA,1,25,3156,78909,2020-01-12
16,"Sarileru Neekevvaru","Ind","70689","Great India Films",NA,1,24,2945,70689,2020-01-12
17,"Tanhaji: The Unsung Warrior","Ind","67240","Cinestaan AA Distributors",NA,1,56,1201,67240,2020-01-12
19,"Seberg","USA","47992","Universal",NA,1,123,390,47992,2020-01-12
22,"Shaun The Sheep Movie: Farmageddon","UK","25055","StudioCanal",-0.48795242,13,141,178,7027552,2020-01-12
24,"Blue Story","UK","18057","Paramount",-0.39546018,8,27,669,4478919,2020-01-12
28,"Ip Man 4","UK/HK","10778","Asia Releasing",-0.53030897,3,12,898,182956,2020-01-12
29,"Servant","Rus","9451","Kinostar",NA,1,11,859,9451,2020-01-12
30,"StarDog And TurboCat","UK","8798","Kaleidoscope",-0.43253842,6,63,140,108119,2020-01-12
31,"42nd Street - The Musical (Theatre)","UK","8745","More2Screen",0.38435966,10,3,2915,1362598,2020-01-12
32,"Adoring","Chn","7327","CMC Pictures",NA,1,20,366,7327,2020-01-12
34,"Lullaby","Fra","6318","StudioCanal",NA,1,1,6318,6318,2020-01-12
36,"The Good Liar","UK/USA/Can","5292","Warner Bros",-0.26493732,10,7,756,3885446,2020-01-12
40,"Branagh Theatre Live: The Winter’s Tale 2019 (Theatre)","UK","3873","Trafalgar",NA,7,2,1937,407622,2020-01-12
42,"Judy","UK","3605","20th Century Fox",3.23619271,15,8,451,8103478,2020-01-12
43,"El Topo (4K Restoration)","Mex","3558","Arrow Films",NA,1,5,712,3558,2020-01-12
45,"Baba Parasi","Tur","3373","AF-Media",NA,1,3,1124,3373,2020-01-12
46,"Ordinary Love","UK","3109","Universal",-0.09569517,6,8,389,197132,2020-01-12
48,"Last Christmas","UK/USA","2560","Universal",-0.93970622,9,32,80,17968116,2020-01-12
49,"Hansard - NT Live 2019 (Theatre)","UK","2415","National Theatre",0.09029345,11,2,1208,939332,2020-01-12
50,"Bait","UK","2180","BFI",-0.1234419,20,3,727,468798,2020-01-12
53,"Miles Davis: Birth Of The Cool","UK/USA","1969","Music Screen",NA,14,3,656,69402,2020-01-12
54,"Present Laughter - NT Live 2019 (Theatre)","UK","1835","National Theatre",-0.51332714,8,1,1835,1231832,2020-01-12
56,"Maleficent: Mistress Of Evil","UK/USA","1104","Disney",-0.56704782,13,18,61,14628223,2020-01-12
59,"Coppelia - ROH, London 2019/20 (Ballet)","UK","941","Royal Opera House",NA,6,1,941,595718,2020-01-12
63,"The Street","UK","850","Verve",7.25242718,7,2,425,41132,2020-01-12
68,"The Lion King","UK/USA","446","Disney",NA,26,2,223,75954688,2020-01-12
71,"Dora & The Lost City Of Gold","UK/USA/Aus","371","Paramount",-0.84541667,22,4,93,6693576,2020-01-12
72,"The Aeronauts","UK/USA","350","eOne Films",-0.28861789,10,2,175,1801909,2020-01-12
76,"Downton Abbey","UK/USA","236","Universal",-0.43651551,18,1,236,28211622,2020-01-12
78,"Citizen K","UK/USA","222","Wildcard",-0.64536741,5,1,222,18103,2020-01-12
81,"The Last Right","UK/Ire","121","eOne Films",-0.66388889,6,1,121,67919,2020-01-12
82,"Pink Wall","UK","111","Pinpoint/Munro",-0.48847926,5,1,111,6093,2020-01-12
1,"1917","UK/USA","6190049","eOne Films",-0.16835471,2,714,8670,18439267,2020-01-19
2,"Bad Boys For Life","USA","3781233","Sony Pictures",NA,1,535,7068,3781233,2020-01-19
3,"Little Women","USA","1480139","Sony Pictures",-0.26787588,4,673,2199,16355697,2020-01-19
4,"The Gentlemen","USA","1092084","Entertainment",-0.36588479,3,511,2137,7895247,2020-01-19
5,"Jumanji: The Next Level","USA","1064594","Sony Pictures",-0.37269333,6,569,1871,32471541,2020-01-19
6,"Star Wars: The Rise Of Skywalker","UK/USA","901078","Disney",-0.50788705,5,565,1595,56482187,2020-01-19
7,"Bombshell","USA/Can","742085","Lionsgate",NA,1,484,1533,742085,2020-01-19
8,"Jojo Rabbit","Nzl/USA/Cze","656736","Disney",-0.3627183,3,499,1316,5482043,2020-01-19
9,"Just Mercy","USA","529435","Warner Bros",NA,1,376,1408,529435,2020-01-19
10,"Frozen 2","USA","514468","Disney",-0.34689639,9,552,932,51908104,2020-01-19
11,"Spies In Disguise","USA","508680","Disney",-0.25787815,4,539,944,5792914,2020-01-19
12,"Weathering With You","Jpn","221789","National Amusements UK",NA,1,57,3891,221789,2020-01-19
13,"Cats","UK/USA","148771","Universal",-0.6633211,5,316,471,11628119,2020-01-19
14,"Playing With Fire","USA","144661","Paramount",-0.40245938,4,354,409,2597261,2020-01-19
15,"Knives Out","USA","142527","Lionsgate",-0.59295329,8,193,738,12617184,2020-01-19
16,"The Sleeping Beauty - ROH, London 2019/20 (Ballet)","UK","64505","Royal Opera House",NA,2,81,796,616817,2020-01-19
17,"A Hidden Life","USA/Ger","63375","Disney",NA,1,108,587,63375,2020-01-19
18,"Waves","USA","62943","Universal",NA,1,135,466,62943,2020-01-19
19,"Exhibition On Screen: Lucian Freud - A Self Portrait 2020 (Exhibition)","UK","45219","Seventh Art Production",NA,1,15,3015,45219,2020-01-19
23,"Pattas","Ind","28345","Sun Media",NA,1,33,859,28345,2020-01-19
26,"Shaun The Sheep Movie: Farmageddon","UK","24271","StudioCanal",-0.03820091,14,146,166,7052836,2020-01-19
31,"Big Brother","Ind","13879","Ksquare Entertainments",NA,1,77,180,13879,2020-01-19
35,"Midnight Traveler","USA","6972","Dogwoof",NA,1,3,2324,6972,2020-01-19
36,"Jai Mummy Di","Ind","6917","Yash Raj",NA,1,14,494,6917,2020-01-19
37,"Blue Story","UK","5817","Paramount",-0.67785346,9,20,291,4490528,2020-01-19
39,"Bait","UK","5223","BFI",1.39587156,21,3,1741,476464,2020-01-19
40,"Ordinary Love","UK","4555","Universal",0.32566938,7,15,304,209607,2020-01-19
41,"Ip Man 4","UK/HK","4078","Asia Releasing",-0.62163667,4,5,816,192849,2020-01-19
42,"StarDog And TurboCat","UK","3896","Kaleidoscope",-0.57205824,7,23,169,112319,2020-01-19
43,"The Lion King","UK/USA","3152","Disney",6.06726457,27,15,210,75957864,2020-01-19
44,"Present Laughter - NT Live 2019 (Theatre)","UK","3099","National Theatre",-0.55007984,9,3,1033,1251555,2020-01-19
45,"Maleficent: Mistress Of Evil","UK/USA","3074","Disney",1.78473551,14,20,154,14631831,2020-01-19
46,"Downton Abbey","UK/USA","3016","Universal",5.20448467,19,2,1508,28233743,2020-01-19
47,"The Good Liar","UK/USA/Can","2535","Warner Bros",-0.68579184,11,2,1268,3901117,2020-01-19
51,"Khatre Da Ghuggu","Ind","1786","Rising Star Entertainment",NA,1,5,357,1786,2020-01-19
52,"All About Eve - NT Live 2019 (Theatre)","UK","1768","National Theatre",NA,42,3,589,1241200,2020-01-19
53,"The Aeronauts","UK/USA","1708","eOne Films",1.28954424,11,2,854,1806372,2020-01-19
58,"Branagh Theatre Live: The Winter’s Tale 2019 (Theatre)","UK","1499","Trafalgar",-0.61296153,8,1,1499,411544,2020-01-19
59,"Be Natural: The Untold Story Of Alice Guy-Blache","USA","1446","Modern Films",NA,1,2,723,1446,2020-01-19
68,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","838","National Theatre",NA,27,1,838,1030779,2020-01-19
71,"Exhibition On Screen: Leonardo - The Works 2019 (Exhibition)","UK","630","Seventh Art Production",NA,12,1,630,105698,2020-01-19
74,"One Man, Two Guvnors - NT Live 2019 Encore (Theatre)","UK","383","National Theatre",NA,18,1,383,1250334,2020-01-19
77,"Dora & The Lost City Of Gold","UK/USA/Aus","267","Paramount",-0.28032345,23,1,267,6694503,2020-01-19
81,"The Runaways","UK","88","Slackjaw Films",-0.98628643,2,1,88,7623,2020-01-19
82,"The Street","UK","77","Verve",-0.93729642,8,1,77,43185,2020-01-19
83,"Aquarela","UK/Ger/Den","50","Park Circus",NA,6,1,50,16918,2020-01-19
1,"1917","UK/USA","4518270","eOne Films",-0.27008586,3,742,6089,26297179,2020-01-26
2,"Bad Boys For Life","USA","2744313","Sony Pictures",-0.2760094,2,559,4909,8276495,2020-01-26
3,"The Personal History Of David Copperfield","UK/USA","1524147","Lionsgate",NA,1,656,2323,1524147,2020-01-26
4,"Little Women","USA","1004904","Sony Pictures",-0.32280492,5,643,1563,18498695,2020-01-26
5,"Jumanji: The Next Level","USA","921225","Sony Pictures",-0.13559007,7,547,1684,33592531,2020-01-26
6,"The Gentlemen","USA","883621","Entertainment",-0.19134089,4,448,1972,9327683,2020-01-26
7,"Star Wars: The Rise Of Skywalker","UK/USA","541886","Disney",-0.39988615,6,488,1110,57375552,2020-01-26
8,"Spies In Disguise","USA","508588","Disney",-0.00238719,5,518,982,6340164,2020-01-26
9,"Jojo Rabbit","Nzl/USA/Cze","502851","Disney",-0.24011134,4,392,1283,6319296,2020-01-26
10,"Paw Patrol: Ready, Race, Rescue","Can","483886","Paramount",NA,1,524,923,483886,2020-01-26
11,"The Grudge","USA","461921","Sony Pictures",NA,1,390,1184,461921,2020-01-26
12,"Psy 3: W Imie Zasad","Pol","407435","Magnetes",NA,1,172,2369,407435,2020-01-26
13,"Frozen 2","USA","402544","Disney",-0.21847346,10,510,789,52361128,2020-01-26
14,"Bombshell","USA/Can","360879","Lionsgate",-0.51370701,2,447,807,1558504,2020-01-26
15,"Just Mercy","USA","259255","Warner Bros",-0.51044891,2,331,783,1083691,2020-01-26
16,"Giselle - Bolshoi Ballet 2020 (Ballet)","Rus","172515","Trafalgar",NA,1,181,953,172515,2020-01-26
18,"The Turning","USA","104459","eOne Films",NA,1,249,420,104459,2020-01-26
19,"Street Dancer","Ind","90669","Cinestaan AA Distributors",NA,1,60,1511,90669,2020-01-26
21,"Cats","UK/USA","79735","Universal",-0.46446322,6,177,450,11806778,2020-01-26
23,"Maleficent: Mistress Of Evil","UK/USA","60634","Disney",18.72602529,15,342,177,14692555,2020-01-26
24,"Panga","Ind","42726","Disney",NA,1,39,1096,42726,2020-01-26
28,"Jinde Meriye","UK/Ind","14477","Rising Star Entertainment",NA,1,13,1114,14477,2020-01-26
30,"Disco Raja","Ind","11727","Dreamz Entertainment",NA,1,19,617,11727,2020-01-26
35,"Everything - The Real Thing Story","UK","8231","Music Film Network",NA,1,2,4116,8231,2020-01-26
37,"Present Laughter - NT Live 2019 (Theatre)","UK","7346","National Theatre",0.81482397,10,3,2449,1260704,2020-01-26
38,"The Sleeping Beauty - ROH, London 2019/20 (Ballet)","UK","7320","Royal Opera House",-0.89391693,3,2,3660,650790,2020-01-26
40,"The Holy Mountain (4K Restoration)","USA/Mex","6351","Arrow Films",NA,1,7,907,6351,2020-01-26
44,"Shaun The Sheep Movie: Farmageddon","UK","4040","StudioCanal",-0.83376538,15,33,122,7057468,2020-01-26
46,"No Fathers In Kashmir","UK/Ind","2704","Miracle Communications",NA,1,14,193,2704,2020-01-26
47,"India Vs England","Ind","2438","KUK Talkies Ltd",NA,1,16,152,2438,2020-01-26
48,"The Lion King","UK/USA","2379","Disney",-0.2451618,28,11,216,75960243,2020-01-26
50,"Rafadan Tayfa Gobeklitepe","Tur","2067","Cinedex OG",NA,1,3,689,2067,2020-01-26
51,"Exhibition On Screen: Lucian Freud - A Self Portrait 2020 (Exhibition)","UK","2049","Seventh Art Production",-0.95586335,2,3,683,64312,2020-01-26
52,"StarDog And TurboCat","UK","2023","Kaleidoscope",-0.49708846,8,16,126,114830,2020-01-26
55,"Judy","UK","1660","20th Century Fox",2.37398374,17,8,208,8117150,2020-01-26
56,"Bait","UK","1567","BFI",-0.69998085,22,4,392,479983,2020-01-26
57,"Blue Story","UK","1556","Paramount",-0.73250817,10,5,311,4496745,2020-01-26
59,"Downton Abbey","UK/USA","1231","Universal",-0.66944146,20,2,616,28236290,2020-01-26
60,"Turkler Geliyor","Tur","1117","Kinostar",NA,1,1,1117,1117,2020-01-26
61,"Ip Man 4","UK/HK","1015","Asia Releasing",-0.75110348,5,1,1015,196534,2020-01-26
62,"Fleabag - NT Live 2019 (Theatre)","UK","1008","National Theatre",NA,21,3,336,4369870,2020-01-26
66,"Ordinary Love","UK","885","Universal",-0.80869001,8,3,295,220013,2020-01-26
67,"The Runaways","UK","869","Slackjaw Films",8.875,3,2,435,8642,2020-01-26
74,"The Good Liar","UK/USA/Can","565","Warner Bros",-0.77712032,12,1,565,3921400,2020-01-26
76,"Dora & The Lost City Of Gold","UK/USA/Aus","353","Paramount",0.32209738,24,1,353,6730975,2020-01-26
81,"Aquarela","UK/Ger/Den","215","Park Circus",3.3,7,1,215,17499,2020-01-26
88,"The Street","UK","122","Verve",0.58441558,9,1,122,44412,2020-01-26
1,"1917","UK/USA","2798457","eOne Films",-0.3816129,4,721,3881,31404434,2020-02-02
2,"Bad Boys For Life","USA","1844179","Sony Pictures",-0.32859992,3,541,3409,11287270,2020-02-02
3,"The Personal History Of David Copperfield","UK/USA","1037119","Lionsgate",-0.31989075,2,672,1543,3758595,2020-02-02
4,"Little Women","USA","659344","Sony Pictures",-0.34590771,6,631,1045,19931774,2020-02-02
5,"The Gentlemen","USA","597494","Entertainment",-0.3182662,5,403,1483,10364506,2020-02-02
6,"Jumanji: The Next Level","USA","597326","Sony Pictures",-0.35208619,8,499,1197,34326248,2020-02-02
7,"Queen & Slim","Can/USA","507302","eOne Films",NA,1,357,1421,507302,2020-02-02
8,"A Beautiful Day In The Neighborhood","USA/Chn","493770","Sony Pictures",NA,1,466,1060,493770,2020-02-02
9,"Porgy And Bess - Met Opera 2020 (Opera)","USA","409359","Trafalgar",NA,1,193,2121,409359,2020-02-02
10,"The Lighthouse","USA","384284","Universal",NA,1,83,4630,384284,2020-02-02
11,"Paw Patrol: Ready, Race, Rescue","Can","352800","Paramount",-0.27155028,2,530,666,929378,2020-02-02
12,"Spies In Disguise","USA","326044","Disney",-0.35945714,6,503,648,6695451,2020-02-02
13,"Jojo Rabbit","Nzl/USA/Cze","296896","Disney",-0.41114379,5,353,841,6846514,2020-02-02
14,"Frozen 2","USA","264837","Disney",-0.34337228,11,450,589,52663219,2020-02-02
15,"Star Wars: The Rise Of Skywalker","UK/USA","244141","Disney",-0.55092908,7,364,671,57812136,2020-02-02
16,"Jak Zostalem Gangsterem","Pol","224687","Phoenix",NA,1,255,881,224687,2020-02-02
18,"The Rhythm Section","UK/USA","171837","Paramount",NA,1,404,425,171837,2020-02-02
19,"Richard Jewell","USA","158868","Warner Bros",NA,1,319,498,158868,2020-02-02
22,"One Piece: Stampede","Jpn","69174","National Amusements UK",NA,1,75,922,69174,2020-02-02
23,"The Man Who Killed Don Quixote","Spa/Bel/Prt","67355","Sparky Pictures Ltd",NA,1,25,2694,67355,2020-02-02
25,"La Boheme - ROH, London 2019/20 (Opera)","UK","58051","Royal Opera House",NA,2,88,660,566630,2020-02-02
27,"Jawaani Jaaneman","UK/Ind","48381","Hamsini Entertainment",NA,1,35,1382,48381,2020-02-02
29,"Cats","UK/USA","27603","Universal",-0.66099676,7,107,258,11890910,2020-02-02
34,"Maleficent: Mistress Of Evil","UK/USA","15536","Disney",-0.74337641,16,102,152,14708804,2020-02-02
39,"Eltilerin Savasi","Tur","5967","AF-Media",NA,1,3,1989,5967,2020-02-02
41,"Shaun The Sheep Movie: Farmageddon","UK","5690","StudioCanal",0.40841584,16,40,142,7063331,2020-02-02
44,"In Search Of Mozart","UK","3618","Seventh Art Production",2.25067385,2,4,905,20060,2020-02-02
46,"Talking About Trees","Fra/Ger/Tcd/Sdn/Qat","3462","New Wave",NA,1,4,866,3462,2020-02-02
48,"Show Me The Picture: The Story Of Jim Marshall","UK","3104","Modern Films",NA,1,3,1035,3104,2020-02-02
49,"Dagaalty","Ind","3041","Sun Media",NA,1,13,234,3041,2020-02-02
50,"Jinde Meriye","UK/Ind","2334","Rising Star Entertainment",-0.83876625,2,4,584,23433,2020-02-02
51,"Bait","UK","1937","BFI",0.23611997,23,3,646,482985,2020-02-02
53,"Judy","UK","1567","20th Century Fox",-0.0560241,18,5,313,8161177,2020-02-02
54,"Present Laughter - NT Live 2019 (Theatre)","UK","1550","National Theatre",-0.78898645,11,1,1550,1266431,2020-02-02
55,"Gul Makai","Ind","1541","Bollywood Films",NA,1,9,171,1541,2020-02-02
56,"The Lion King","UK/USA","1525","Disney",-0.35918882,29,5,305,75961768,2020-02-02
59,"Quezon's Game","Phl","1466","ABS-CBN/Star Cinema",NA,1,28,52,1466,2020-02-02
61,"The Runaways","UK","1234","Slackjaw Films",0.42002301,4,2,617,10138,2020-02-02
63,"The Good Liar","UK/USA/Can","1098","Warner Bros",0.34394125,13,2,549,3930586,2020-02-02
66,"StarDog And TurboCat","UK","754","Kaleidoscope",-0.69046874,9,9,84,115637,2020-02-02
67,"Ordinary Love","UK","745","Universal",-0.15819209,9,2,373,223353,2020-02-02
68,"Everything - The Real Thing Story","UK","731","Music Film Network",-0.91118941,2,1,731,10937,2020-02-02
69,"No Fathers In Kashmir","UK/Ind","702","Miracle Communications",-0.74038462,2,2,351,5239,2020-02-02
79,"The Aeronauts","UK/USA","188","eOne Films",NA,13,1,188,1814587,2020-02-02
80,"Aquarela","UK/Ger/Den","180","Park Circus",-0.52506596,8,1,180,18721,2020-02-02
89,"Exhibition On Screen: Lucian Freud - A Self Portrait 2020 (Exhibition)","UK","76","Seventh Art Production",-0.97265203,3,1,76,70897,2020-02-02
1,"Dolittle","UK/USA","5085520","Universal",NA,1,600,8476,5085520,2020-02-09
2,"Birds Of Prey: And The Fantabulous Emancipation Of One Harley Quinn","USA","2833297","Warner Bros",NA,1,629,4504,2833297,2020-02-09
3,"1917","UK/USA","2271528","eOne Films",-0.19182032,5,692,3283,35888252,2020-02-09
4,"Parasite","Kor","1397387","StudioCanal",NA,1,137,10200,1397387,2020-02-09
5,"Bad Boys For Life","USA","1000628","Sony Pictures",-0.46047669,4,481,2080,13098674,2020-02-09
6,"The Personal History Of David Copperfield","UK/USA","530339","Lionsgate",-0.48950103,3,519,1022,5089472,2020-02-09
7,"Kinky Boots - The Musical (Theatre)","UK","503256","More2Screen",NA,2,479,1051,1175439,2020-02-09
8,"Jumanji: The Next Level","USA","391310","Sony Pictures",-0.34468974,9,462,847,34830746,2020-02-09
9,"The Gentlemen","USA","351323","Entertainment",-0.41179908,6,333,1055,11057892,2020-02-09
10,"Little Women","USA","305033","Sony Pictures",-0.54286489,7,452,675,20800556,2020-02-09
11,"A Beautiful Day In The Neighborhood","USA/Chn","227968","Sony Pictures",-0.53933016,2,428,533,1129994,2020-02-09
12,"Spies In Disguise","USA","227368","Disney",-0.30714919,7,380,598,6955887,2020-02-09
13,"Paw Patrol: Ready, Race, Rescue","Can","217642","Paramount",-0.38496004,3,497,438,1192113,2020-02-09
14,"Jojo Rabbit","Nzl/USA/Cze","213245","Disney",-0.29366152,6,245,870,7244048,2020-02-09
15,"Frozen 2","USA","210521","Disney",-0.21239319,12,512,411,52905408,2020-02-09
17,"Underwater","USA","191869","Disney",NA,1,330,581,191869,2020-02-09
19,"Star Wars: The Rise Of Skywalker","UK/USA","89803","Disney",-0.63683825,8,179,502,58009767,2020-02-09
21,"Malang - Unleash The Madness","Ind","61689","Yash Raj",NA,1,64,964,61689,2020-02-09
24,"Maleficent: Mistress Of Evil","UK/USA","35782","Disney",1.28672074,17,267,134,14744894,2020-02-09
28,"Mr. Jones","UK/Pol/Ukr","16583","Signature Entertainment",NA,1,10,1658,16583,2020-02-09
29,"Dora & The Lost City Of Gold","UK/USA/Aus","16250","Paramount",NA,26,99,164,6747563,2020-02-09
30,"Jawaani Jaaneman","UK/Ind","15585","Hamsini Entertainment",-0.68099979,2,10,1558,90972,2020-02-09
33,"The Rhythm Section","UK/USA","11964","Paramount",-0.93468457,2,131,91,337138,2020-02-09
34,"Jaanu","Ind","10851","Sailing Stones",NA,1,18,603,10851,2020-02-09
38,"Cats","UK/USA","8435","Universal",-0.70453272,8,69,122,11926510,2020-02-09
40,"Vaanam Kottatum","Ind","8216","Sun Media",NA,1,13,632,8216,2020-02-09
43,"Shaun The Sheep Movie: Farmageddon","UK","6578","StudioCanal",0.15606327,17,31,212,7070292,2020-02-09
45,"A Streetcar Named Desire (Re: 2020)","USA","5204","BFI",NA,1,5,1041,5204,2020-02-09
46,"Plus One","USA","5006","Vertigo",NA,1,10,501,5006,2020-02-09
47,"Not Perfect Man","Rus","4649","Independent",NA,1,9,517,4649,2020-02-09
48,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","3902","National Theatre",NA,30,4,976,1061750,2020-02-09
49,"Bait","UK","3809","BFI",0.96644295,24,9,423,499896,2020-02-09
50,"Zakhmi","Ind","3676","Rising Star Entertainment",NA,1,9,408,3676,2020-02-09
53,"Judy","UK","1915","20th Century Fox",0.22208041,19,4,479,8180486,2020-02-09
54,"The Good Liar","UK/USA/Can","1805","Warner Bros",0.643898,14,1,1805,3943117,2020-02-09
56,"Ask Tesadufleri Sever 2","Tur","1616","Independent",NA,1,3,539,1616,2020-02-09
64,"Fando & Lis (4K Restoration)","Mex","956","Arrow Films",NA,1,5,191,956,2020-02-09
65,"Daniel Isn't Real","USA/Mys","919","Arrow Films",NA,1,1,919,919,2020-02-09
67,"StarDog And TurboCat","UK","711","Kaleidoscope",-0.0892926,10,8,89,116374,2020-02-09
68,"Everything - The Real Thing Story","UK","676","Music Film Network",-0.0752394,3,3,225,12582,2020-02-09
72,"The Runaways","UK","349","Slackjaw Films",-0.78950543,5,1,349,11199,2020-02-09
73,"Show Me The Picture: The Story Of Jim Marshall","UK","340","Modern Films",-0.89046392,2,3,113,4147,2020-02-09
74,"The Lion King","UK/USA","326","Disney",-0.78609878,30,1,326,75962094,2020-02-09
77,"Ordinary Love","UK","261","Universal",-0.64966443,10,2,131,225225,2020-02-09
82,"Exhibition On Screen: Lucian Freud - A Self Portrait 2020 (Exhibition)","UK","130","Seventh Art Production",0.71052632,4,1,130,72939,2020-02-09
87,"The Sleeping Beauty - ROH, London 2019/20 (Ballet)","UK","16","Royal Opera House",NA,5,1,16,659085,2020-02-09
1,"Sonic The Hedgehog","USA/Jpn/Kor","4733768","Paramount",NA,1,619,7647,4733768,2020-02-16
2,"Parasite","Kor","2523518","StudioCanal",0.80588341,2,428,5896,5092732,2020-02-16
3,"Dolittle","UK/USA","2135951","Universal",-0.58565298,2,678,3150,8197463,2020-02-16
4,"1917","UK/USA","1950909","eOne Films",-0.14244929,6,635,3072,39229416,2020-02-16
5,"Birds Of Prey: And The Fantabulous Emancipation Of One Harley Quinn","USA","1773024","Warner Bros",-0.3589541,2,621,2855,5820839,2020-02-16
6,"Emma","UK","1635797","Universal",NA,1,611,2677,1635797,2020-02-16
7,"Bad Boys For Life","USA","842039","Sony Pictures",-0.1584893,5,438,1922,14371453,2020-02-16
8,"365 Dni","Pol","378790","Phoenix",NA,1,262,1446,378790,2020-02-16
9,"Jumanji: The Next Level","USA","326564","Sony Pictures",-0.16622241,10,414,789,35236372,2020-02-16
10,"The Gentlemen","USA","238781","Entertainment",-0.32241679,7,231,1034,11536705,2020-02-16
11,"The Personal History Of David Copperfield","UK/USA","236502","Lionsgate",-0.5556136,4,301,786,5728246,2020-02-16
12,"Jojo Rabbit","Nzl/USA/Cze","155753","Disney",-0.27366885,7,167,933,7541315,2020-02-16
13,"Little Women","USA","155706","Sony Pictures",-0.49361597,8,245,636,21283939,2020-02-16
14,"Frozen 2","USA","148856","Disney",-0.2950926,13,361,412,53088714,2020-02-16
15,"Paw Patrol: Ready, Race, Rescue","Can","144262","Paramount",-0.34134994,4,438,329,1377656,2020-02-16
19,"Ghost (30th Anniversary)","USA","78805","Park Circus",NA,1,247,319,78805,2020-02-16
21,"Love Aaj Kal 2","Ind","71468","Hamsini Entertainment",NA,1,64,1117,71468,2020-02-16
22,"The Lost Boys (Re: 2020)","USA","61613","Warner Bros",NA,1,94,655,61613,2020-02-16
24,"Kinky Boots - The Musical (Theatre)","UK","55614","More2Screen",-0.89473064,3,55,1011,1289900,2020-02-16
25,"Star Wars: The Rise Of Skywalker","UK/USA","55476","Disney",-0.38525299,9,126,440,58100786,2020-02-16
26,"Sufna","Ind","41688","B4U Movies",NA,1,15,2779,41688,2020-02-16
31,"Varane Avishamundu","Ind","28754","RFT Films",NA,1,49,587,28754,2020-02-16
32,"Mr. Jones","UK/Pol/Ukr","20428","Signature Entertainment",0.09633446,2,15,1362,54936,2020-02-16
33,"Spycies","Chn/Fra/USA","18309","Kaleidoscope",NA,1,199,92,18309,2020-02-16
34,"World Famous Lover","Ind","17583","Sailing Stones",NA,1,17,1034,17583,2020-02-16
37,"First Love","Jpn","13052","Signature Entertainment",NA,1,13,1004,13052,2020-02-16
39,"Shaun The Sheep Movie: Farmageddon","UK","9721","StudioCanal",0.4778048,18,39,249,7081393,2020-02-16
40,"Maleficent: Mistress Of Evil","UK/USA","7628","Disney",-0.7868267,18,55,139,14757349,2020-02-16
46,"Jihad Jane","Ire/Swe","4587","Wildcard",NA,1,5,917,4587,2020-02-16
47,"Naan Sirithal","Ind","4273","Sun Media",NA,1,7,610,4273,2020-02-16
48,"Imported Groom","Ltu","4015","Independent",NA,1,6,669,4015,2020-02-16
50,"Bait","UK","3352","BFI",-0.22118959,25,8,419,511785,2020-02-16
51,"Present Laughter - NT Live 2019 (Theatre)","UK","3108","National Theatre",NA,13,2,1554,1322560,2020-02-16
52,"Cats","UK/USA","2923","Universal",-0.68897638,9,37,79,11907188,2020-02-16
53,"Jawaani Jaaneman","UK/Ind","2884","Hamsini Entertainment",-0.81496662,3,6,481,100218,2020-02-16
54,"La Boheme - ROH, London 2019/20 (Opera)","UK","2825","Royal Opera House",NA,4,2,1413,602410,2020-02-16
55,"Oh My Kadavule","Ind","2515","Sun Media",NA,1,5,503,2515,2020-02-16
58,"The Runaways","UK","1909","Slackjaw Films",4.46991404,6,4,477,13209,2020-02-16
62,"Ordinary Love","UK","1516","Universal",4.80842912,11,3,505,249511,2020-02-16
64,"A Paris Education","Fra","1388","New Wave",NA,1,4,347,1388,2020-02-16
67,"The Rhythm Section","UK/USA","1058","Paramount",-0.91156716,3,22,48,350802,2020-02-16
75,"The Sleeping Beauty - ROH, London 2019/20 (Ballet)","UK","750","Royal Opera House",45.875,6,1,750,664597,2020-02-16
76,"When Lambs Become Lions","USA","659","Dogwoof",NA,1,1,659,659,2020-02-16
79,"Judy","UK","539","20th Century Fox",-0.74563473,20,4,135,8196368,2020-02-16
83,"Small Island - NT Live 2019 (Theatre)","UK","388","National Theatre",NA,35,1,388,873156,2020-02-16
86,"Downton Abbey","UK/USA","284","Universal",NA,23,1,284,28242871,2020-02-16
