"rank","film","country_of_origin","weekend_gross","distributor","percent_change_on_last_week","weeks_on_release","number_of_cinemas","site_average","total_gross_to_date","weekend_sunday","year","week","year_week"
11,"Pinocchio","UK/Ita/Fra","33246","Vertigo",0.39959586,7,235,141,799047,"2020-09-27",2020,39,"2020-39"
12,"The Broken Hearts Gallery","USA","30777","Sony Pictures",-0.2771544,3,296,104,250875,"2020-09-27",2020,39,"2020-39"
13,"23 Walks","UK","28940","Parkland Entertainment",NA,1,127,228,28940,"2020-09-27",2020,39,"2020-39"
14,"Dreambuilders","Dnk","24309","Signature Entertainment",0.50646995,11,127,191,422436,"2020-09-27",2020,39,"2020-39"
15,"Memories Of Murder (Re: 2020)","Kor","21350","Curzon",0.26626267,3,55,388,88074,"2020-09-27",2020,39,"2020-39"
19,"Rocky (Re: 2020)","USA","10820","Park Circus",NA,1,130,83,10820,"2020-09-27",2020,39,"2020-39"
22,"JoJo Siwa’s D.R.E.A.M. Tour On The Big Screen!","USA","9149","Nickelodeon",NA,1,104,88,9149,"2020-09-27",2020,39,"2020-39"
25,"Monsoon","UK","6757","Peccadillo",NA,1,11,614,6757,"2020-09-27",2020,39,"2020-39"
26,"Miss Juneteenth","USA","6746","Vertigo",NA,1,32,211,6746,"2020-09-27",2020,39,"2020-39"
27,"Harry Potter & The Goblet Of Fire","UK/USA","6081","Warner Bros",4.05255853,776,24,253,49168905,"2020-09-27",2020,39,"2020-39"
28,"Aladdin","UK/USA","5965","Disney",NA,71,90,66,37252991,"2020-09-27",2020,39,"2020-39"
34,"Rocky 2 (Re: 2020)","USA","4468","Park Circus",NA,1,89,50,4468,"2020-09-27",2020,39,"2020-39"
38,"Pokemon Detective Pikachu","UK/USA/Jpn","4316","Warner Bros",NA,73,30,144,13834105,"2020-09-27",2020,39,"2020-39"
39,"White Riot","UK","4097","Modern Films",-0.74571748,2,21,195,26785,"2020-09-27",2020,39,"2020-39"
40,"Hope Gap","UK","3931","Curzon",0.48845134,5,18,218,156599,"2020-09-27",2020,39,"2020-39"
43,"The Roads Not Taken","UK","2961","Universal",-0.64863436,3,73,41,69796,"2020-09-27",2020,39,"2020-39"
44,"Rocky 3 (Re: 2020)","USA","2794","Park Circus",NA,1,79,35,2794,"2020-09-27",2020,39,"2020-39"
45,"Timmy's Cinema Adventure","UK","2782","Vue Entertainment",0.29535251,6,66,42,48587,"2020-09-27",2020,39,"2020-39"
46,"Capital In The Twenty First Century","NZl/Fra","2733","StudioCanal",NA,1,8,342,2733,"2020-09-27",2020,39,"2020-39"
48,"Rebuilding Paradise","USA","2679","Dogwoof",NA,1,22,122,2679,"2020-09-27",2020,39,"2020-39"
49,"Mamma Mia!","UK/USA/Swe","2644","Universal",NA,638,73,36,68832446,"2020-09-27",2020,39,"2020-39"
57,"Summerland","UK","1903","Lionsgate",-0.03489552,9,12,159,134379,"2020-09-27",2020,39,"2020-39"
60,"Shaun The Sheep Movie: Farmageddon","UK","1812","StudioCanal",NA,50,25,72,7129300,"2020-09-27",2020,39,"2020-39"
63,"42nd Street - The Musical (Theatre)","UK","1580","More2Screen",2.412527,47,3,527,1439469,"2020-09-27",2020,39,"2020-39"
65,"The Man In The Hat","UK","1355","Kaleidoscope",-0.43696641,2,9,151,7562,"2020-09-27",2020,39,"2020-39"
73,"Bugsy Malone (Re: 2006)","UK","1100","Park Circus",0.38104206,721,1,1100,35262,"2020-09-27",2020,39,"2020-39"
75,"Rocky 4 (Re: 2020)","USA","996","Park Circus",NA,1,49,20,996,"2020-09-27",2020,39,"2020-39"
76,"Harry Potter & The Deathly Hallows: Part 2","UK/USA","899","Warner Bros",-0.89948534,481,6,150,73046076,"2020-09-27",2020,39,"2020-39"
77,"The King & I: From The London Palladium (Theatre)","UK","896","Trafalgar",11.80271429,97,7,128,1907822,"2020-09-27",2020,39,"2020-39"
80,"Military Wives","UK","838","Lionsgate",-0.00238095,30,6,140,2503695,"2020-09-27",2020,39,"2020-39"
81,"Harry Potter and the Philosopher's Stone","UK/USA","836","Warner Bros",1.25945946,985,4,209,65715513,"2020-09-27",2020,39,"2020-39"
84,"Harry Potter & The Half Blood Prince","UK/USA","802","Warner Bros",NA,585,5,160,50830485,"2020-09-27",2020,39,"2020-39"
88,"Shaun Of The Dead","UK","734","United International Pictures",1.33630661,860,15,49,6738550,"2020-09-27",2020,39,"2020-39"
89,"Present Laughter - NT Live 2019 (Theatre)","UK","727","National Theatre",0.35255814,45,2,364,1370027,"2020-09-27",2020,39,"2020-39"
92,"Bohemian Rhapsody","UK/USA","705","20th Century Fox",NA,101,6,118,55212137,"2020-09-27",2020,39,"2020-39"
93,"Fleabag - NT Live 2019 (Theatre)","UK","636","National Theatre",-0.28847875,56,3,212,4414495,"2020-09-27",2020,39,"2020-39"
94,"Harry Potter & The Prisoner Of Azkaban","UK/USA","622","Warner Bros",-0.81427292,852,4,156,46174912,"2020-09-27",2020,39,"2020-39"
96,"Finding Your Feet","UK","601","eOne Films",NA,136,16,38,5945539,"2020-09-27",2020,39,"2020-39"
98,"Max Richter's Sleep","UK","570","Dogwoof",-0.42307692,3,5,114,19260,"2020-09-27",2020,39,"2020-39"
103,"Misbehaviour","UK","489","Disney",0.72791519,29,2,245,449289,"2020-09-27",2020,39,"2020-39"
107,"Harry Potter & The Deathly Hallows: Part 1","UK/USA","452","Warner Bros",-0.94743029,515,3,151,52542798,"2020-09-27",2020,39,"2020-39"
108,"Street Leagues","Ire","433","Independent",NA,1,10,43,433,"2020-09-27",2020,39,"2020-39"
110,"Kinky Boots - The Musical (Theatre)","UK","415","More2Screen",NA,35,2,208,1437257,"2020-09-27",2020,39,"2020-39"
111,"A Midsummer Night's Dream - NT Live 2019 (Theatre)","UK","401","National Theatre",NA,51,2,201,625475,"2020-09-27",2020,39,"2020-39"
112,"Emma","UK","400","Universal",-0.56279375,33,3,133,7455943,"2020-09-27",2020,39,"2020-39"
114,"Moffie","UK/Zaf","261","Curzon",2.55102041,11,1,261,3022,"2020-09-27",2020,39,"2020-39"
117,"All My Sons - NT Live 2019 (Theatre)","UK","250","National Theatre",NA,73,1,250,1059305,"2020-09-27",2020,39,"2020-39"
119,"Nocturnal","UK","237","Wildcard",-0.83877824,2,4,59,2606,"2020-09-27",2020,39,"2020-39"
123,"Monty Python's Life of Brian (40th Anniversary)","UK","171","Trafalgar",NA,77,1,171,227897,"2020-09-27",2020,39,"2020-39"
125,"Hey Duggee At The Cinema - Autumn Collection","UK","167","Vue Entertainment",-0.73196521,49,4,42,103467,"2020-09-27",2020,39,"2020-39"
128,"One Man, Two Guvnors - NT Live 2019 Encore (Theatre)","UK","110","National Theatre",NA,54,1,110,1252101,"2020-09-27",2020,39,"2020-39"
130,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","104","National Theatre",NA,63,1,104,1083066,"2020-09-27",2020,39,"2020-39"
131,"Hurt By Paradise","UK","38","Miracle/Sulk Youth Film",-0.96289063,2,2,19,1538,"2020-09-27",2020,39,"2020-39"
132,"A View From the Bridge - NT Live 2015 (Theatre)","UK","34","National Theatre/ Picture House Entertainment",NA,289,1,34,1408160,"2020-09-27",2020,39,"2020-39"
134,"Love Sarah","UK/Ger","28","Parkland Entertainment",0.33333333,12,1,28,48045,"2020-09-27",2020,39,"2020-39"
136,"Lynn & Lucy","UK","15","BFI",-0.57142857,4,1,15,1976,"2020-09-27",2020,39,"2020-39"
1,"Tenet","UK/USA","628247","Warner Bros",-0.03313742,6,542,1159,15948191,"2020-10-04",2020,40,"2020-40"
2,"Cats & Dogs: Paws Unite!","USA","456532","Warner Bros",NA,1,531,860,456532,"2020-10-04",2020,40,"2020-40"
3,"After We Collided","USA","390298","Shear Entertainment",-0.24294537,5,490,797,3198469,"2020-10-04",2020,40,"2020-40"
4,"Bill And Ted Face The Music","USA","146594","Warner Bros",-0.32561702,3,475,309,1067997,"2020-10-04",2020,40,"2020-40"
5,"The Elfkins","Ger","131374","Signature Entertainment",NA,1,444,296,131374,"2020-10-04",2020,40,"2020-40"
6,"Onward","USA","127122","Disney",0.0060702,31,388,328,7456771,"2020-10-04",2020,40,"2020-40"
7,"On The Rocks","USA","93821","A24/Trafalgar",NA,1,61,1538,93821,"2020-10-04",2020,40,"2020-40"
8,"David Attenborough: A Life On Our Planet","UK","92052","Altitude",NA,2,375,245,431913,"2020-10-04",2020,40,"2020-40"
9,"100% Wolf","Aus","79829","Vertigo",-0.11273363,10,373,214,1370745,"2020-10-04",2020,40,"2020-40"
10,"The New Mutants","USA","60797","Disney",-0.35043858,5,330,184,1585689,"2020-10-04",2020,40,"2020-40"
11,"Unhinged","USA","59764","Altitude",-0.00822608,10,224,267,1846424,"2020-10-04",2020,40,"2020-40"
12,"Matthew Bourne’s The Red Shoes 2020","UK","57398","More2Screen",NA,2,305,188,119833,"2020-10-04",2020,40,"2020-40"
13,"Trolls World Tour","USA/Jpn","39038","Universal",0.05324605,26,189,207,925442,"2020-10-04",2020,40,"2020-40"
14,"Rocks","UK","31762","Altitude",-0.40407888,3,72,441,233665,"2020-10-04",2020,40,"2020-40"
15,"Dreambuilders","Dnk","31121","Signature Entertainment",0.27945742,12,193,161,456394,"2020-10-04",2020,40,"2020-40"
16,"Pinocchio","UK/Ita/Fra","26528","Vertigo",-0.20548684,8,222,119,830054,"2020-10-04",2020,40,"2020-40"
17,"Eternal Beauty","UK","20868","Bulldog Film Distribution",NA,1,49,426,20868,"2020-10-04",2020,40,"2020-40"
18,"Harry Potter and the Philosopher's Stone","UK/USA","19518","Warner Bros",22.34688995,986,91,214,65735031,"2020-10-04",2020,40,"2020-40"
19,"23 Walks","UK","19497","Parkland Entertainment",-0.33140153,2,126,155,76833,"2020-10-04",2020,40,"2020-40"
20,"Harry Potter & The Prisoner Of Azkaban","UK/USA","19049","Warner Bros",29.62540193,853,89,214,46193961,"2020-10-04",2020,40,"2020-40"
21,"Harry Potter & The Chamber Of Secrets","UK/USA","16685","Warner Bros",NA,934,90,185,54945169,"2020-10-04",2020,40,"2020-40"
23,"Schemers","UK","14063","Munro Film",-0.59384838,2,122,115,73565,"2020-10-04",2020,40,"2020-40"
28,"Harry Potter & The Goblet Of Fire","UK/USA","8819","Warner Bros",0.45019472,777,96,92,49180765,"2020-10-04",2020,40,"2020-40"
35,"Wallace & Gromit: The Curse Of The Were-Rabbit (Re: 2014)","UK/USA","7497","20th Century Fox",NA,318,93,81,18826,"2020-10-04",2020,40,"2020-40"
38,"Peppa Pig: My First Cinema Experience","UK","6113","eOne Films",NA,183,19,322,3687325,"2020-10-04",2020,40,"2020-40"
39,"Jiang Zi Ya: The Legend Of Deification","Chn","5990","China Lion",NA,1,21,285,5990,"2020-10-04",2020,40,"2020-40"
40,"Rialto","UK/Ire","5704","Break Out Pictures",NA,1,31,184,5704,"2020-10-04",2020,40,"2020-40"
44,"Shaun Of The Dead","UK","4843","United International Pictures",5.59821398,861,45,108,6743949,"2020-10-04",2020,40,"2020-40"
45,"Harry Potter & The Order Of The Phoenix","UK/USA","4569","Warner Bros",NA,691,21,218,49986959,"2020-10-04",2020,40,"2020-40"
51,"Timmy's Cinema Adventure","UK","3704","Vue Entertainment",0.33141243,7,61,61,53005,"2020-10-04",2020,40,"2020-40"
54,"White Riot","UK","3531","Modern Films",-0.13814987,3,19,186,33422,"2020-10-04",2020,40,"2020-40"
56,"Monsoon","UK","3252","Peccadillo",-0.518729,2,8,406,14733,"2020-10-04",2020,40,"2020-40"
59,"Pokemon Detective Pikachu","UK/USA/Jpn","2680","Warner Bros",-0.36773753,74,28,96,13837624,"2020-10-04",2020,40,"2020-40"
70,"Hope Gap","UK","1696","Curzon",-0.71107325,6,11,154,169850,"2020-10-04",2020,40,"2020-40"
78,"Summerland","UK","1245","Lionsgate",-0.34585873,10,8,156,141061,"2020-10-04",2020,40,"2020-40"
83,"Military Wives","UK","968","Lionsgate",0.15513126,31,4,242,2505321,"2020-10-04",2020,40,"2020-40"
86,"The Roads Not Taken","UK","896","Universal",-0.69951309,4,15,60,74230,"2020-10-04",2020,40,"2020-40"
89,"Hot Fuzz","UK","771","Universal",NA,712,15,51,21190432,"2020-10-04",2020,40,"2020-40"
90,"Hey Duggee At The Cinema - Autumn Collection","UK","771","Vue Entertainment",3.61676647,50,13,59,102361,"2020-10-04",2020,40,"2020-40"
91,"The Quiet Ones","UK/USA","744","Lionsgate",NA,339,15,50,1617601,"2020-10-04",2020,40,"2020-40"
92,"The Shining (Re: 2019)","UK/USA","707","Warner Bros",NA,51,2,354,173590,"2020-10-04",2020,40,"2020-40"
94,"The Man In The Hat","UK","687","Kaleidoscope",-0.49315725,3,6,115,9989,"2020-10-04",2020,40,"2020-40"
100,"Bohemian Rhapsody","UK/USA","615","20th Century Fox",-0.28488372,102,7,88,55213201,"2020-10-04",2020,40,"2020-40"
101,"Harry Potter & The Deathly Hallows: Part 1","UK/USA","614","Warner Bros",0.35930928,516,5,123,52543462,"2020-10-04",2020,40,"2020-40"
102,"Misbehaviour","UK","604","Disney",0.23517382,30,2,302,450520,"2020-10-04",2020,40,"2020-40"
104,"Shaun The Sheep Movie: Farmageddon","UK","560","StudioCanal",-0.69448991,51,4,140,7129902,"2020-10-04",2020,40,"2020-40"
106,"Aladdin","UK/USA","496","Disney",-0.91684828,72,5,99,37253487,"2020-10-04",2020,40,"2020-40"
110,"That Click","USA","465","Kaleidoscope",NA,1,8,58,465,"2020-10-04",2020,40,"2020-40"
113,"Dolittle","UK/USA","418","Universal",0.06091371,35,7,60,15945897,"2020-10-04",2020,40,"2020-40"
117,"Kinky Boots - The Musical (Theatre)","UK","351","More2Screen",-0.1550313,36,1,351,1438710,"2020-10-04",2020,40,"2020-40"
126,"Flash Gordon 40th Anniversary 4K Restoration","UK/USA","273","StudioCanal",-0.6801968,10,1,273,46468,"2020-10-04",2020,40,"2020-40"
127,"A Perfectly Normal Family","Dnk","251","Modern Films",NA,1,2,126,251,"2020-10-04",2020,40,"2020-40"
130,"The King & I: From The London Palladium (Theatre)","UK","238","Trafalgar",-0.73443131,98,1,238,1910523,"2020-10-04",2020,40,"2020-40"
132,"Harry Potter & The Deathly Hallows: Part 2","UK/USA","212","Warner Bros",-0.76381209,482,3,71,73047045,"2020-10-04",2020,40,"2020-40"
133,"Moffie","UK/Zaf","212","Curzon",-0.18773946,12,1,212,3234,"2020-10-04",2020,40,"2020-40"
134,"Make Up","UK","203","Curzon",NA,10,1,203,24913,"2020-10-04",2020,40,"2020-40"
135,"Monty Python's Life of Brian (40th Anniversary)","UK","197","Trafalgar",0.15204678,78,1,197,228094,"2020-10-04",2020,40,"2020-40"
139,"Love Sarah","UK/Ger","133","Parkland Entertainment",3.75,13,2,67,50775,"2020-10-04",2020,40,"2020-40"
142,"Hurt By Paradise","UK","117","Miracle/Sulk Youth Film",2.07894737,3,2,59,1730,"2020-10-04",2020,40,"2020-40"
143,"Perfect 10","UK","116","606 Distribution",NA,9,2,58,3245,"2020-10-04",2020,40,"2020-40"
148,"Victoria - Northern Ballet 2019 (Ballet)","UK","90","CinemaLive",NA,68,1,90,101056,"2020-10-04",2020,40,"2020-40"
149,"Nocturnal","UK","72","Wildcard",-0.69456692,3,2,36,2975,"2020-10-04",2020,40,"2020-40"
152,"Real","UK","58","Verve",NA,4,1,58,2305,"2020-10-04",2020,40,"2020-40"
153,"Coriolanus - NT Live 2014 (Theatre)","UK","34","National Theatre/ Picture House Entertainment",NA,350,1,34,1261942,"2020-10-04",2020,40,"2020-40"
1,"Tenet","UK/USA","296049","Warner Bros",-0.53105012,7,355,834,16563616,"2020-10-11",2020,41,"2020-41"
2,"Saint Maud","UK","263433","StudioCanal",NA,1,334,789,263433,"2020-10-11",2020,41,"2020-41"
3,"Akira (Re: 2020)","Jpn","201124","National Amusements UK",NA,1,109,1845,201124,"2020-10-11",2020,41,"2020-41"
4,"After We Collided","USA","194277","Shear Entertainment",-0.50551305,6,308,631,3574188,"2020-10-11",2020,41,"2020-41"
5,"Cats & Dogs: Paws Unite!","USA","184395","Warner Bros",-0.5988736,2,373,494,715297,"2020-10-11",2020,41,"2020-41"
6,"On The Rocks","USA","75743","A24/Trafalgar",-0.24937964,2,86,881,235380,"2020-10-11",2020,41,"2020-41"
7,"The Elfkins","Ger","52927","Signature Entertainment",-0.59931411,2,309,171,209331,"2020-10-11",2020,41,"2020-41"
8,"Bill And Ted Face The Music","USA","47081","Warner Bros",-0.68108569,4,256,184,1188716,"2020-10-11",2020,41,"2020-41"
9,"Onward","USA","46992","Disney",-0.63460776,32,250,188,7513511,"2020-10-11",2020,41,"2020-41"
10,"Kajillionaire","USA","44275","Universal",NA,1,216,205,44275,"2020-10-11",2020,41,"2020-41"
11,"Unhinged","USA","31136","Altitude",-0.48098397,11,150,208,1913282,"2020-10-11",2020,41,"2020-41"
12,"100% Wolf","Aus","25063","Vertigo",-0.68809456,11,204,123,1398761,"2020-10-11",2020,41,"2020-41"
13,"Trolls World Tour","USA/Jpn","20952","Universal",-0.47738633,27,146,144,948876,"2020-10-11",2020,41,"2020-41"
14,"Hocus Pocus (Re: 2020)","USA","20491","Park Circus",NA,1,88,233,20491,"2020-10-11",2020,41,"2020-41"
15,"Harry Potter & The Half Blood Prince","UK/USA","19119","Warner Bros",NA,587,109,175,50849604,"2020-10-11",2020,41,"2020-41"
17,"Harry Potter & The Order Of The Phoenix","UK/USA","15442","Warner Bros",2.33953287,692,95,163,50004837,"2020-10-11",2020,41,"2020-41"
18,"Harry Potter & The Deathly Hallows: Part 1","UK/USA","13836","Warner Bros",21.53358306,517,87,159,52557353,"2020-10-11",2020,41,"2020-41"
19,"Rocks","UK","12837","Altitude",-0.59583779,4,115,112,262596,"2020-10-11",2020,41,"2020-41"
21,"Hey Duggee At The Movies","UK","11437","Vue Entertainment",NA,1,85,135,11437,"2020-10-11",2020,41,"2020-41"
23,"Romeo And Juliet - Bolshoi Ballet 2020 (Ballet)","Rus","10531","Trafalgar",NA,1,85,124,10531,"2020-10-11",2020,41,"2020-41"
24,"Harry Potter & The Deathly Hallows: Part 2","UK/USA","10357","Warner Bros",47.78331637,483,91,114,73057472,"2020-10-11",2020,41,"2020-41"
25,"Pinocchio","UK/Ita/Fra","9862","Vertigo",-0.63925671,9,124,80,842340,"2020-10-11",2020,41,"2020-41"
26,"23 Walks","UK","9424","Parkland Entertainment",-0.51839738,3,62,152,111792,"2020-10-11",2020,41,"2020-41"
27,"The Rocky Horror Picture Show (Re: 2011)","UK/USA","9396","20th Century Fox",NA,468,84,112,481216,"2020-10-11",2020,41,"2020-41"
29,"Eternal Beauty","UK","7193","Bulldog Film Distribution",-0.65833848,2,43,167,38204,"2020-10-11",2020,41,"2020-41"
35,"My People, My Homeland","Chn","3535","China Lion",NA,1,27,131,3535,"2020-10-11",2020,41,"2020-41"
39,"Bohemian Rhapsody","UK/USA","3357","20th Century Fox",4.45853659,103,80,42,55216655,"2020-10-11",2020,41,"2020-41"
42,"Schemers","UK","2986","Munro Film",-0.78807665,3,21,142,89909,"2020-10-11",2020,41,"2020-41"
45,"I Am Woman","Aus","2884","Vertigo",NA,1,33,87,2884,"2020-10-11",2020,41,"2020-41"
51,"Monsoon","UK","2242","Peccadillo",-0.31061841,3,7,320,19118,"2020-10-11",2020,41,"2020-41"
53,"Peppa Pig: My First Cinema Experience","UK","1910","eOne Films",-0.68755112,184,15,127,3691580,"2020-10-11",2020,41,"2020-41"
55,"Summerland","UK","1855","Lionsgate",0.46119556,11,10,186,147362,"2020-10-11",2020,41,"2020-41"
56,"Hope Gap","UK","1655","Curzon",-0.68025502,7,9,184,180241,"2020-10-11",2020,41,"2020-41"
57,"The Jungle Book","UK/USA","1488","Disney",NA,235,20,74,46236520,"2020-10-11",2020,41,"2020-41"
59,"David Attenborough: A Life On Our Planet","UK","1470","Altitude",-0.98176028,3,7,210,442327,"2020-10-11",2020,41,"2020-41"
64,"Iki Gozum Ahmet","Tur","1253","AF-Media",NA,1,1,1253,1253,"2020-10-11",2020,41,"2020-41"
67,"Timmy's Cinema Adventure","UK","1140","Vue Entertainment",-0.69221369,8,51,22,54478,"2020-10-11",2020,41,"2020-41"
70,"Harry Potter and the Philosopher's Stone","UK/USA","1100","Warner Bros",-0.94364177,987,4,275,65742926,"2020-10-11",2020,41,"2020-41"
71,"Labyrinth (Re: 2013)","UK/USA","1006","Park Circus",NA,389,1,1006,212693,"2020-10-11",2020,41,"2020-41"
72,"Harry Potter & The Prisoner Of Azkaban","UK/USA","1002","Warner Bros",-0.94739881,854,4,251,46201633,"2020-10-11",2020,41,"2020-41"
73,"Shaun Of The Dead","UK","1000","United International Pictures",-0.79348831,862,12,83,6747416,"2020-10-11",2020,41,"2020-41"
76,"Harry Potter & The Goblet Of Fire","UK/USA","702","Warner Bros",-0.92039374,778,6,117,49189133,"2020-10-11",2020,41,"2020-41"
77,"Love Sarah","UK/Ger","700","Parkland Entertainment",4.26315789,14,1,700,52048,"2020-10-11",2020,41,"2020-41"
79,"Rialto","UK/Ire","666","Break Out Pictures",-0.94407591,2,5,133,15305,"2020-10-11",2020,41,"2020-41"
84,"2001: A Space Odyssey (Re: 2018)","UK/USA","587","Warner Bros",NA,126,1,587,365534,"2020-10-11",2020,41,"2020-41"
87,"Military Wives","UK","547","Lionsgate",-0.43491736,32,4,137,2509182,"2020-10-11",2020,41,"2020-41"
89,"My Rembrandt","UK","491","Dogwoof",NA,9,1,491,10651,"2020-10-11",2020,41,"2020-41"
90,"King Lear - NT Live 2018 (Theatre)","UK","474","National Theatre",NA,108,2,237,733737,"2020-10-11",2020,41,"2020-41"
91,"Wallace & Gromit: The Curse Of The Were-Rabbit (Re: 2014)","UK/USA","456","20th Century Fox",-0.94099559,319,7,65,19868,"2020-10-11",2020,41,"2020-41"
92,"Present Laughter - NT Live 2019 (Theatre)","UK","435","National Theatre",NA,47,1,435,1370907,"2020-10-11",2020,41,"2020-41"
95,"Alien (40th Anniversary)","UK/USA","380","Park Circus",NA,85,1,381,304857,"2020-10-11",2020,41,"2020-41"
96,"Beyond The Visible: Hilma Af Klint","Ger","378","Modern Films",NA,1,2,189,378,"2020-10-11",2020,41,"2020-41"
97,"Pokemon Detective Pikachu","UK/USA/Jpn","344","Warner Bros",-0.87167426,75,8,43,13838067,"2020-10-11",2020,41,"2020-41"
98,"Gladiator","UK/USA/Mlt/Mar","343","United International Pictures",NA,1066,1,344,31231951,"2020-10-11",2020,41,"2020-41"
101,"Dolittle","UK/USA","316","Universal",-0.24401914,36,7,45,15946213,"2020-10-11",2020,41,"2020-41"
102,"The Man In The Hat","UK","314","Kaleidoscope",-0.54294032,4,5,63,11511,"2020-10-11",2020,41,"2020-41"
108,"The Lehman Trilogy - NT Live 2019 (Theatre)","UK","204","National Theatre",NA,65,1,204,1083270,"2020-10-11",2020,41,"2020-41"
111,"Hitsville: The Making Of Motown","UK/USA","178","Altitude",NA,54,1,178,281808,"2020-10-11",2020,41,"2020-41"
112,"White Riot","UK","146","Modern Films",-0.96161935,4,1,146,36481,"2020-10-11",2020,41,"2020-41"
113,"The Roads Not Taken","UK","96","Universal",-0.89383894,5,2,48,74889,"2020-10-11",2020,41,"2020-41"
114,"The King & I: From The London Palladium (Theatre)","UK","95","Trafalgar",-0.60084034,99,1,95,1911816,"2020-10-11",2020,41,"2020-41"
119,"Real","UK","51","Verve",-0.12068966,5,1,51,2388,"2020-10-11",2020,41,"2020-41"
122,"Max Richter's Sleep","UK","18","Dogwoof",NA,5,1,18,19488,"2020-10-11",2020,41,"2020-41"
123,"Nocturnal","UK","13","Wildcard",-0.82027077,4,1,13,3001,"2020-10-11",2020,41,"2020-41"
1,"Tenet","UK/USA","187275","Warner Bros",-0.36823196,8,320,585,16877908,"2020-10-18",2020,42,"2020-42"
2,"Michael Ball & Alfie Boe - Back Together (Concert)","UK","175778","CinemaLive",NA,1,316,556,175778,"2020-10-18",2020,42,"2020-42"
3,"Saint Maud","UK","132282","StudioCanal",-0.49787431,2,355,373,520311,"2020-10-18",2020,42,"2020-42"
4,"After We Collided","USA","107472","Shear Entertainment",-0.44688735,7,271,397,3759883,"2020-10-18",2020,42,"2020-42"
5,"Cats & Dogs: Paws Unite!","USA","107073","Warner Bros",-0.4200101,3,343,312,870536,"2020-10-18",2020,42,"2020-42"
6,"On The Rocks","USA","45446","A24/Trafalgar",-0.39999968,3,94,483,326030,"2020-10-18",2020,42,"2020-42"
7,"Hocus Pocus (Re: 2020)","USA","42135","Park Circus",1.05626639,2,91,463,78353,"2020-10-18",2020,42,"2020-42"
8,"I Am Greta","Swe","29687","Dogwoof",NA,1,246,121,29687,"2020-10-18",2020,42,"2020-42"
9,"Onward","USA","26643","Disney",-0.4339346,33,203,131,7552055,"2020-10-18",2020,42,"2020-42"
10,"Bill And Ted Face The Music","USA","26489","Warner Bros",-0.43834019,5,203,130,1233154,"2020-10-18",2020,42,"2020-42"
11,"Kajillionaire","USA","23982","Universal",-0.45868427,2,168,143,98457,"2020-10-18",2020,42,"2020-42"
12,"Unhinged","USA","23823","Altitude",-0.23585455,12,154,155,1956451,"2020-10-18",2020,42,"2020-42"
13,"Akira (Re: 2020)","Jpn","23760","National Amusements UK",-0.88181633,2,135,176,252124,"2020-10-18",2020,42,"2020-42"
14,"The Elfkins","Ger","20304","Signature Entertainment",-0.61690826,3,240,85,239787,"2020-10-18",2020,42,"2020-42"
15,"100% Wolf","Aus","13888","Vertigo",-0.44793148,12,154,90,1418759,"2020-10-18",2020,42,"2020-42"
21,"The Shining (Re: 2019)","UK/USA","6637","Warner Bros",NA,53,83,80,180490,"2020-10-18",2020,42,"2020-42"
23,"Pinocchio","UK/Ita/Fra","6030","Vertigo",-0.39542811,10,92,66,849615,"2020-10-18",2020,42,"2020-42"
25,"Guardians Of The Galaxy","UK/USA","5698","Disney",NA,325,85,67,28598533,"2020-10-18",2020,42,"2020-42"
28,"Cinderella (2015)","UK/USA","5315","Disney",54.64973822,291,84,63,21325447,"2020-10-18",2020,42,"2020-42"
30,"Harry Potter & The Deathly Hallows: Part 1","UK/USA","4906","Warner Bros",-0.6454362,518,23,213,52566259,"2020-10-18",2020,42,"2020-42"
31,"Endless","USA/Ger","4713","The Movie Partnership",NA,1,20,236,4713,"2020-10-18",2020,42,"2020-42"
32,"23 Walks","UK","4489","Parkland Entertainment",-0.564513,4,42,107,133159,"2020-10-18",2020,42,"2020-42"
34,"Hey Duggee At The Movies","UK","4338","Vue Entertainment",-0.62071878,2,81,54,17762,"2020-10-18",2020,42,"2020-42"
37,"Carmilla","UK","3245","Jade/Republic",NA,1,27,120,3245,"2020-10-18",2020,42,"2020-42"
41,"Rocks","UK","2868","Altitude",-0.77887433,5,16,179,272925,"2020-10-18",2020,42,"2020-42"
43,"Schemers","UK","2541","Munro Film",-0.1490288,4,20,127,95836,"2020-10-18",2020,42,"2020-42"
46,"Hope Gap","UK","2139","Curzon",0.29244713,8,9,238,185148,"2020-10-18",2020,42,"2020-42"
47,"Eternal Beauty","UK","2130","Bulldog Film Distribution",-0.70387877,3,14,152,45749,"2020-10-18",2020,42,"2020-42"
49,"Summerland","UK","1940","Lionsgate",-0.18232671,12,10,194,154740,"2020-10-18",2020,42,"2020-42"
50,"Harry Potter & The Half Blood Prince","UK/USA","1866","Warner Bros",-0.90234457,588,12,156,50858477,"2020-10-18",2020,42,"2020-42"
55,"Being A Human Person","UK/Swe","1511","Curzon",NA,1,7,216,1511,"2020-10-18",2020,42,"2020-42"
58,"Thomas & Friends: Sodor's Legend of the Lost Treasure","UK","1236","National Amusements UK",NA,275,19,65,589107,"2020-10-18",2020,42,"2020-42"
61,"Kinky Boots - The Musical (Theatre)","UK","1063","More2Screen",NA,38,1,1063,1440701,"2020-10-18",2020,42,"2020-42"
